postazione;sensori;provincia;comune;tipo_strada;numero_strada;nome_strada
281;Underground;BO;VALSAMOGGIA;Strada provinciale;078/1;Castelfranco - Monteveglio I tronco, Strada
604;Underground;BO;PIANORO;Strada provinciale;37;Ganzole, Strada
443;Underground;RA;FAENZA;Strada provinciale;16;Marzeno, Strada
252;Underground;BO;MEDICINA;Strada statale;253bis;Trasversale di Pianura, Strada
177;Underground;BO;SAN LAZZARO DI SAVENA;Strada statale;NSA 313;San Lazzaro, Strada Di
654;Aboveground;RA;CERVIA;Strada provinciale;071bis R;Cesena - Cervia, Strada
620;Underground;RE;CORREGGIO;Strada statale;468;Correggio, Strada Di
256;Underground;RA;FAENZA;Strada provinciale;302R;Brisighellese Ravennate, Strada
381;Underground;MO;MODENA;Strada statale;724;Nord di Modena e diramazione per Sassuolo, Tangenziale
601;Underground;BO;CASTEL SAN PIETRO TERME;Strada provinciale;21;Val Sillaro, Strada
351;Underground;RN;CORIANO;Strada statale;72;San Marino, Strada Di
426;Underground;RE;VEZZANO SUL CROSTOLO;Strada statale;63;Valico del Cerreto, Strada Del
323;Underground;MO;MARANELLO;Strada provinciale;467;Scandiano Nuova Pedemontana, Strada Di
311;Underground;RE;GUASTALLA;Strada provinciale;062R var;Cispadana, Strada
319;Aboveground;MO;SASSUOLO;Strada provinciale;15;Magreta, Strada Di
173;Underground;FC;FORLI';Strada provinciale;4;Bidente, Strada Del
442;Underground;RA;RAVENNA;Strada provinciale;118;Umbro Casentinese Romagnola tratto Dismano, Strada
352;Underground;RN;RIMINI;Strada provinciale;136;Santarcangelo - Mare, Strada
149;Underground;MO;MODENA;Strada provinciale;255;San Matteo Decima, Strada
309;Underground;PC;MONTICELLI D'ONGINA;Strada statale;10;Padana Inferiore, Strada
226;Underground;PR;TRAVERSETOLO;Strada provinciale;32;Pedemontana, Strada
133;Underground;PR;SORBOLO MEZZANI;Strada provinciale;062R;Cisa, Strada Della
377;Underground;FE;BONDENO;Strada provinciale;18;Bondeno - Ficarolo, Strada
258;Underground;FC;BERTINORO;Strada statale;9;Emilia, Via
613;Underground;PR;TRAVERSETOLO;Strada provinciale;16;Argini, Strada Degli
303;Underground;PC;BORGONOVO VAL TIDONE;Strada provinciale;11;Mottaziana, Strada Di
300;Underground;PC;CORTEMAGGIORE;Strada provinciale;462R;Val d'Arda, Strada Della
337;Underground;RA;LUGO;Strada provinciale;14;Quarantola, Strada
314;Underground;RE;REGGIOLO;Strada provinciale;2;Tagliata - Staffola, Strada
454;Underground;RN;RIMINI;Strada statale;72;San Marino, Strada Di
176;Underground;FC;FORLI';Strada provinciale;2;Cervia, Strada Di
653;Aboveground;RA;CERVIA;Strada provinciale;254R;Cervia, Strada Di
437;Underground;RN;POGGIO TORRIANA;Strada provinciale;13;Uso, Strada
132;Underground;PR;PARMA;Strada provinciale;513R;Val d'Enza, Strada Di
614;Underground;PC;CORTEMAGGIORE;Strada provinciale;587R;Cortemaggiore, Strada Di
237;Underground;RE;QUATTRO CASTELLA;Strada provinciale;23;Rivalta - Vezzanella, Strada
501;Underground;BO;CREVALCORE;Strada statale;568;Crevalcore, Strada Di
685;Underground;BO;MONTE SAN PIETRO;Strada provinciale;26;Valle del Lavino, Strada
124;Underground;PC;GOSSOLENGO;Strada statale;45;Val Trebbia, Strada Di
623;Underground;RE;RIO SALICETO;Strada provinciale;30;Novellara - Campagnola - Rio Saliceto, Strada
148;Underground;MO;MODENA;Strada statale;9;Emilia, Via
615;Underground;PC;PIACENZA;Strada comunale;ND;Milano, Piazzale
611;Underground;PR;MEDESANO;Strada statale;357;Fornovo, Strada Di
188;Underground;RN;RIMINI;Strada statale;9;Emilia, Via
650;Aboveground;FC;FORLI';Strada statale;9;Emilia, Via
619;Underground;RA;BAGNACAVALLO;Strada provinciale;8;Canale Naviglio, Strada
231;Underground;RE;GUALTIERI;Strada provinciale;063R;Valico del Cerreto, Strada Del
52;Underground;BO;CASTELGUELFO DI BOLOGNA;Strada provinciale;253;Vitale (San), Strada
445;Underground;RA;MASSA LOMBARDA;Strada provinciale;610R;Selice - Montanara - Imolese, Strada
505;Underground;BO;IMOLA;Strada provinciale;610;Selice o Montanara Imolese, Strada
247;Underground;BO;SANT'AGATA BOLOGNESE;Strada provinciale;255;San Matteo della Decima, Strada Di
411;Underground;FE;LAGOSANTO;Strada provinciale;53;Codigoro - Lagosanto, Strada
452;Underground;RE;REGGIO NELL'EMILIA;Strada provinciale;3;Reggio Emilia - Bagnolo - Novellara, Strada
220;Underground;PC;ALSENO;Strada statale;9;Emilia, Via
680;Underground;PR;FELINO;Strada provinciale;121R;Nuova Pedemontana, Strada
292;Underground;BO;SAN GIORGIO DI PIANO;Strada provinciale;4;Galliera, Strada
187;Underground;RN;BELLARIA IGEA MARINA;Strada statale;16;Adriatica, Strada
236;Underground;MO;FINALE EMILIA;Strada statale;468;Correggio, Strada Di
397;Underground;PR;FIDENZA;Strada provinciale;12;Soragna, Strada Di
627;Underground;BO;VERGATO;Strada statale;64;Porrettana, Strada
334;Aboveground;RA;FAENZA;Strada provinciale;8;Canale Naviglio, Strada
380;Aboveground;RA;RAVENNA;Strada statale;309dir;Romea, Strada
253;Underground;BO;MEDICINA;Strada statale;253;Vitale (San), Strada
137;Underground;RE;REGGIO NELL'EMILIA;Strada provinciale;28;Reggio Emilia - Montecchio - Ponte Enza, Strada
262;Underground;FC;SAVIGNANO SUL RUBICONE;Strada statale;9;Emilia, Via
277;Underground;BO;BUDRIO;Strada provinciale;6;Zenzalino, Strada
107;Underground;RE;RUBIERA;Strada provinciale;85;Rubiera - Fontana, Strada
612;Underground;PR;LANGHIRANO;Strada statale;665;Massese, Strada
446;Underground;RA;LUGO;Strada provinciale;13;Bastia, Strada
117;Underground;RE;VENTASSO;Strada statale;63;Valico del Cerreto, Strada Del
147;Underground;MO;SPILAMBERTO;Strada statale;623;Passo Brasa, Strada Del
108;Underground;PC;CASTEL SAN GIOVANNI;Strada provinciale;412R;Val Tidone, Strada Della
135;Underground;PR;PARMA;Strada provinciale;10;Cremona, Strada Di
245;Underground;MO;SAVIGNANO SUL PANARO;Strada statale;569;Vignola, Strada Di
431;Underground;RE;SANT'ILARIO D'ENZA;Strada provinciale;12;Sant'Ilario - San Polo, Strada
140;Underground;RE;REGGIO NELL'EMILIA;Strada statale;9;Emilia, Via
630;Underground;FC;CESENA;Strada statale;726;Cesena, Tangenziale Di
503;Underground;BO;MONTE SAN PIETRO;Strada provinciale;26;Valle del Lavino, Strada
134;Underground;PR;PARMA;Strada statale;343;Asolana, Strada
676;Underground;RA;RAVENNA;Strada statale;16;Adriatica, Strada
143;Underground;RE;REGGIO NELL'EMILIA;Strada provinciale;063R;Valico del Cerreto, Strada Del
138;Underground;RE;REGGIO NELL'EMILIA;Strada statale;63;Valico del Cerreto, Strada Del
652;Aboveground;FE;ARGENTA;Strada statale;16;Adriatica, Strada
17;Underground;MO;MIRANDOLA;Strada statale;12;Abetone e del Brennero, Strada Dell'
602;Underground;BO;CREVALCORE;Strada provinciale;009/1;Crevalcore - Galeazza I tronco, Strada
622;Underground;RE;CORREGGIO;Strada statale;468;Correggio, Strada Di
291;Underground;BO;SAN PIETRO IN CASALE;Strada provinciale;4;Galliera, Strada
634;Underground;MO;PAVULLO NEL FRIGNANO;Strada statale;12;Abetone e del Brennero, Strada Dell'
391;Underground;PC;CASTELVETRO PIACENTINO;Strada statale;10;Padana Inferiore, Strada
606;Aboveground;FE;POGGIO RENATICO;Strada provinciale;70;Cispadana, Strada
122;Underground;PC;ROTTOFRENO;Strada statale;10;Padana Inferiore, Strada
342;Underground;FC;GATTEO;Strada provinciale;33;Gatteo, Strada
678;Underground;RA;RAVENNA;Strada statale;16;Adriatica, Strada
660;Underground;FE;ARGENTA;Strada provinciale;25;Poggiorenatico - Santa Maria Codifiume, Strada
350;Underground;RN;RIMINI;Strada provinciale;41;Rimini - Montescudo, Strada
254;Underground;BO;CASTEL SAN PIETRO TERME;Strada statale;9;Emilia, Via
636;Underground;PR;PARMA;Strada statale;009var;Parma nord ovest, Tangenziale Di
439;Underground;RN;SANTARCANGELO DI ROMAGNA;Strada provinciale;49;Trasversale Marecchia, Strada
98;Underground;RA;BRISIGHELLA;Strada provinciale;302R;Brisighellese Ravennate, Strada
354;Underground;RN;RICCIONE;Strada provinciale;31;Flaminia - Conca, Strada
321;Underground;MO;SASSUOLO;Strada provinciale;467;Scandiano Nuova Pedemontana, Strada Di
186;Underground;RN;RIMINI;Strada statale;16;Adriatica, Strada
227;Underground;PR;SORBOLO MEZZANI;Strada provinciale;34;Padana orientale, Strada
450;Underground;RE;GUASTALLA;Strada provinciale;35;Guastalla - Ponte Po, Strada
441;Underground;RN;SAN GIOVANNI IN MARIGNANO;Strada provinciale;58;Tavullia, Strada
395;Underground;PR;FORNOVO DI TARO;Strada statale;308;Fondo Valle Taro, Strada Di
7;Underground;BO;ALTO RENO TERME;Strada statale;64;Porrettana, Strada
295;Underground;PR;TORRILE;Strada provinciale;9;Golese, Strada Di
128;Aboveground;PC;PIACENZA;Strada statale;10;Padana Inferiore, Strada
681;Underground;RE;SCANDIANO;Strada provinciale;52;Bagno - Arceto - Scandiano, Strada
278;Underground;BO;BUDRIO;Strada provinciale;6;Zenzalino, Strada
301;Underground;PC;ALSENO;Strada provinciale;4;Bardi, Strada Di
287;Underground;FE;CENTO;Strada provinciale;6;Cento - Finale Emilia, Strada
