postazione;comune;nome_strada
6;FIUMALBO;Abetone e del Brennero, Strada Dell'
7;ALTO RENO TERME;Porrettana, Strada
9;PORTICO SAN BENEDETTO;Tosco Romagnola, Strada
12;CATTOLICA;Adriatica, Strada
16;BONDENO;Virgiliana, Strada
17;MIRANDOLA;Abetone e del Brennero, Strada Dell'
19;COLORNO;Asolana, Strada
25;PARMA;Emilia, Via
29;MODENA;Emilia, Via
52;CASTELGUELFO DI BOLOGNA;Vitale (San), Strada
53;COMACCHIO;Romea, Strada
95;CASTEL SAN GIOVANNI;Padana Inferiore, Strada
98;BRISIGHELLA;Brisighellese Ravennate, Strada
100;VERUCCHIO;Marecchia, Strada
104;ROCCABIANCA;Nuovo Ponte sul Po, Strada Del
107;RUBIERA;Rubiera - Fontana, Strada
108;CASTEL SAN GIOVANNI;Val Tidone, Strada Della
112;BORETTO;Asse Val d'Enza, Strada
115;MESOLA;Codigoro, Strada Di
116;BAGNO DI ROMAGNA;Savio, Strada
117;VENTASSO;Valico del Cerreto, Strada Del
118;OTTONE;Val Trebbia, Strada Di
122;ROTTOFRENO;Padana Inferiore, Strada
123;PIACENZA;Gossolengo, Strada Di
124;GOSSOLENGO;Val Trebbia, Strada Di
125;PIACENZA;Val Nure, Strada Di
126;PIACENZA;Carpaneto, Strada Di
127;PIACENZA;Emilia, Via
128;PIACENZA;Padana Inferiore, Strada
129;PARMA;Parma nord ovest, Tangenziale Di
130;COLLECCHIO;Cisa, Strada Della
131;PARMA;Massese, Strada
132;PARMA;Val d'Enza, Strada Di
133;SORBOLO MEZZANI;Cisa, Strada Della
134;PARMA;Asolana, Strada
135;PARMA;Cremona, Strada Di
137;REGGIO NELL'EMILIA;Reggio Emilia - Montecchio - Ponte Enza, Strada
138;REGGIO NELL'EMILIA;Valico del Cerreto, Strada Del
139;SCANDIANO;Scandiano, Strada Di
140;REGGIO NELL'EMILIA;Emilia, Via
141;REGGIO NELL'EMILIA;Lenin Nikolaj Ilyich Ulyanov Vladimir, Via
143;REGGIO NELL'EMILIA;Valico del Cerreto, Strada Del
146;MODENA;Abetone e del Brennero, Strada Dell'
147;SPILAMBERTO;Passo Brasa, Strada Del
148;MODENA;Emilia, Via
149;MODENA;San Matteo Decima, Strada
150;MODENA;Abetone e del Brennero, Strada Dell'
151;MODENA;Romana, Strada
152;BOLOGNA;Vignola, Strada Di
153;SASSO MARCONI;Porrettana, Via
154;PIANORO;Fondovalle Savena, Strada
155;SAN LAZZARO DI SAVENA;Emilia, Via
156;CASTENASO;Vitale (San), Strada
157;GRANAROLO DELL'EMILIA;Donato (San), Via
158;GRANAROLO DELL'EMILIA;Porrettana, Strada
160;CALDERARA DI RENO;Padullese, Strada
161;ANZOLA DELL'EMILIA;Crevalcore, Strada Di
162;CASTELFRANCO EMILIA;Emilia, Via
170;FORLI';Tosco Romagnola, Strada
171;FORLI';Vecchiazzano, Strada
173;FORLI';Bidente, Strada Del
174;FORLI';Emilia, Via
175;CESENA;Tiberina, Strada
176;FORLI';Cervia, Strada Di
177;SAN LAZZARO DI SAVENA;San Lazzaro, Strada Di
182;SANTARCANGELO DI ROMAGNA;Marecchia, Strada
184;RIMINI;Adriatica, Strada
186;RIMINI;Adriatica, Strada
187;BELLARIA IGEA MARINA;Adriatica, Strada
188;RIMINI;Emilia, Via
215;BENTIVOGLIO;Trasversale di Pianura, Strada
218;POLESINE ZIBELLO;Cremona, Strada Di
219;CADEO;Emilia, Via
220;ALSENO;Emilia, Via
221;NOCETO;Emilia, Via
222;SALSOMAGGIORE TERME;Salsomaggiore e Bardi, Strada Di
223;NOCETO;Fornovo, Strada Di
226;TRAVERSETOLO;Pedemontana, Strada
227;SORBOLO MEZZANI;Padana orientale, Strada
228;BRESCELLO;Cisa, Strada Della
